CameraID,Latitude,Longitude,LinkID
1001,1.29531332,103.871146,103000324
1002,1.319541067,103.8785627,103000726
1003,1.323957439,103.8728576,103000726
1004,1.319535712,103.8750668,103000726
1005,1.363519886,103.905394,103000926
1006,1.357098686,103.902042,103000922
1501,1.27414394350065,103.851316802547,103000858
1502,1.27135090682664,103.861828440597,103000324
1503,1.27066408655104,103.856977943394,103001200
1504,1.29409891409364,103.876056196568,103000810
1505,1.2752977149006,103.866390381759,103000324
1701,1.323604823,103.8587802,103000056
1702,1.34355015,103.8601984,103001174
1703,1.32814722194857,103.862203282048,103000056
1704,1.28569398886979,103.837524510188,103000406
1705,1.375925022,103.8587986,103000638
1706,1.38861,103.85806,103000594
1707,1.28036584335876,103.830451146503,103000406
1709,1.31384231654635,103.845603032574,103000276
1711,1.35296,103.85719,103001146
2701,1.447023728,103.7716543,103000218
2702,1.445554109,103.7683397,103000218
2703,1.35047790791386,103.791033581325,103000080
2704,1.429588536,103.769311,103000218
2705,1.36728572,103.7794698,103000080
2706,1.414142,103.771168,103000080
2707,1.3983,103.774247,103000080
2708,1.3865,103.7747,103000080
3702,1.33831,103.98032,103000786
3704,1.2958550156561,103.880314665981,103000810
3705,1.32743,103.97383,103000786
3793,1.309330837,103.9350504,103001170
3795,1.30145145166066,103.910596320237,103000086
3796,1.297512569,103.8983019,103000086
3797,1.29565733262976,103.885283049309,103000810
3798,1.29158484,103.8615987,103000316
4701,1.2871,103.79633,103000114
4702,1.27237,103.8324,103000406
4703,1.348697862,103.6350413,103000078
4704,1.27877,103.82375,103000118
4705,1.32618,103.73028,103001038
4706,1.29792,103.78205,103000818
4707,1.33344648135658,103.652700847056,103000078
4708,1.29939,103.7799,103000818
4709,1.312019,103.763002,103000080
4710,1.32153,103.75273,103000080
4712,1.341244001,103.6439134,103000078
4713,1.347645829,103.6366955,103000078
4714,1.31023,103.76438,103000080
4716,1.32227,103.67453,103000078
4798,1.25999999687243,103.823611110166,103000118
4799,1.26027777363278,103.823888890049,103000118
5794,1.3309693,103.9168616,103000890
5795,1.326024822,103.905625,103000910
5797,1.322875288,103.8910793,103001230
5798,1.32036078126842,103.877174116489,103000726
5799,1.328171608,103.8685191,103000170
6701,1.329334,103.858222,103000056
6703,1.328899,103.84121,103000162
6704,1.32657403632366,103.826857295633,103000936
6705,1.332124,103.81768,103000936
6706,1.349428893,103.7952799,103000080
6708,1.345996,103.69016,103000078
6710,1.344205,103.78577,103000080
6711,1.33771,103.977827,103000786
6712,1.332691,103.770278,103000080
6713,1.340298,103.945652,103000786
6714,1.361742,103.703341,103000122
6715,1.356299,103.716071,103001034
6716,1.322893,103.6635051,103000078
7791,1.354245,103.963782,103000786
7793,1.37704704,103.92946983,103000898
7794,1.37988658,103.92009174,103000898
7795,1.38432741,103.91585701,103000898
7796,1.39559294,103.90515712,103000902
7797,1.40002575,103.85702534,103000234
7798,1.39748842,103.85400467,103000234
8701,1.38647,103.74143,103001034
8702,1.39059,103.7717,103000080
8704,1.3899,103.74843,103001034
8706,1.3664,103.70899,103001034
9701,1.39466333,103.83474601,103000218
9702,1.39474081,103.81797086,103000218
9703,1.422857,103.773005,103000218
9704,1.42214311,103.79542062,103000218
9705,1.42627712,103.78716637,103000218
9706,1.41270056,103.80642712,103000218
