Type,Latitude,Longitude,Message
Roadwork,1.2962958484288827,103.84392373112934,(7/11)0:06 Roadworks in CTE Tunnel (towards SLE) after Merchant Rd Exit. Avoid lanes 2 and 3.
Roadwork,1.3302797305395886,103.8619686804458,(7/11)0:04 Roadworks on PIE (towards Tuas) at CTE(SLE) Exit.
Roadwork,1.3077045103350098,103.84126830062023,(7/11)0:03 Roadworks in CTE Tunnel (towards AYE) before Cairnhill Circle Exit. Avoid lanes 1 and 2.
Roadwork,1.2976448896116473,103.84387682374607,(7/11)0:02 Roadworks in CTE Tunnel (towards AYE) before Havelock Exit. Avoid lane 3.
Road Block,1.3566571930076425,103.9017335859234,(7/11)0:01 Road Closure on KPE (towards TPE) between Nicoll Highway Entrance and Tampines Rd Exit.
Road Block,1.3170701398342743,103.87472265049075,(7/11)0:00 Road Closure on KPE (towards ECP) between Tampines Rd Exit and Sims Ave Exit.
Roadwork,1.2956302106987994,103.84879858714643,(6/11)23:58 Roadworks in Fort Canning Tunnel. Avoid lanes 2 and 3.
Roadwork,1.3954272308210647,103.7741294759495,(6/11)23:39 Roadworks on BKE (towards PIE) at KJE(PIE) Exit.
Roadwork,1.3527369610510434,103.96456075861657,(6/11)23:19 Roadworks on Upper Changi Road North (towards Upper Changi Road East) after TPE. Avoid right lane.
Roadwork,1.3533124392889053,103.96379213274153,(6/11)23:02 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
Roadwork,1.2949137399737602,103.85345960480132,(6/11)22:54 Roadworks on Bras Basah Road (towards Raffles Boulevard) after North Bridge Road. Avoid right lane.
Roadwork,1.295231980514521,103.85300171864327,(6/11)22:53 Roadworks on Bras Basah Road (towards Raffles Boulevard) after Victoria Street. Avoid right lane.
Roadwork,1.2725241344560947,103.84822662935896,(6/11)22:28 Roadworks on AYE (towards Tuas) after Keppel Rd exit. Avoid lane 1.
Roadwork,1.3559941952396137,103.96318044469145,(6/11)22:25 Roadworks on TPE (towards SLE) before Tampines Ave 7 Exit. Avoid lane 1.
Roadwork,1.3479573773041889,103.95438536060821,(6/11)22:22 Roadworks on PIE (towards Changi Airport) before Tampines St 31. Avoid lane 1.
Roadwork,1.3381783701272891,103.70975283546517,(6/11)22:20 Roadworks on Jalan Boon Lay (towards Chin Bee Drive) after Boon Lay Way. Avoid left lane.
Roadwork,1.3226012992336829,103.69644769150293,(6/11)22:10 Roadworks on AYE (towards Tuas) after Pioneer Rd Exit. Avoid lane 3.
Roadwork,1.3142005879794383,103.8044837584752,(6/11)22:02 Roadworks on Farrer Road (towards Lornie) after Farrer U/P. Avoid left lane.
Roadwork,1.3451851367302923,103.7879432256884,(6/11)22:00 Roadworks on PIE (towards Changi Airport) before BKE.
Roadwork,1.3576932238743082,103.96260959698746,(6/11)21:59 Roadworks on TPE (towards PIE) before PIE Exit. Avoid lanes 1 and 2.
Roadwork,1.2916961883821616,103.86290667035092,(6/11)21:39 Roadworks on Raffles Boulevard (towards Republic Boulevard) after Temasek Avenue.
Roadwork,1.362922876970156,103.9042563457326,(6/11)21:36 Roadworks on Tampines Road (towards Kpe) after Kpe. Avoid right lane.
Roadwork,1.3318450375467288,103.95567428276836,(6/11)21:19 Roadworks on Xilin Avenue (towards Upper Changi Road East) after Changi South Avenue 1.
Roadwork,1.2730661502510192,103.80105386625563,(6/11)20:32 Roadworks on Pasir Panjang Road (towards City) after Jalan Mat Jambol. Avoid left lane.
Roadwork,1.3224807834776304,103.68759949378634,(6/11)20:15 Roadworks on Jalan Ahmad Ibrahim (towards Benoi Sector) after Pioneer Circus. Avoid left lane.
